MSA Entropy,Molecular Weight,Isoelectric Point,Net Charge,Average Hydropathy Value,Aliphatic index,DNA Hits,RNA Hits,Class
156.54080707536923,59166.8972,9.817634583,53.94679813,-1.042885375,45.71146245,47,0,DNA
79.71421007275634,56589.8509,8.516029358,4.421138981,-0.561350844,48.96810507,36,0,DNA
75.44202666831701,36982.0038,7.492881775,2.298725899,-0.668555241,55.7223796,13,0,DNA
81.74001399844524,42802.6451,5.830680847,-4.946195183,-0.306930693,83.24257426,5,0,DNA
85.74772986022724,54461.7659,6.277153015,-3.516524518,-0.364876033,84.04958678,0,0,DNA
137.14681126148758,47958.6245,9.881721497,38.5626971,-0.825178147,53.25415677,47,0,DNA
216.59528097511975,73667.5802,5.837516785,-11.89537208,-0.568571429,64.4962406,14,0,DNA
91.30564667116744,44273.3474,5.752067566,-6.782793217,-0.808184143,60.89514066,26,0,DNA
330.67968455129284,51503.6718,4.727210999,-28.10035344,-0.614377682,84.29184549,83,34,DNA
48.097458961556626,8404.6021,5.151252747,-3.387093008,-0.719444444,86.66666667,0,0,DNA
153.14351319097594,68761.7513,6.399452209,-4.068105237,-0.486421725,72.28434505,20,0,DNA
23.817953525356288,91685.9807,6.218299866,-8.360494545,-0.46272838,77.11327649,4,0,DNA
31.24212150232654,18015.6197,7.04875946,0.099661662,-0.36025641,88.20512821,0,0,DNA
154.91956330780593,66607.1394,9.320960999,35.89626906,-0.764958678,54.72727273,48,0,DNA
202.03775636430274,21062.233,10.85541534,54.63503982,-1.12244898,56.93877551,22,0,DNA
156.1082041708184,113083.7908,8.990379333,23.14015007,-0.536489152,79.1321499,14,0,DNA
153.18931224049615,12140.7541,5.397880554,-4.214132476,-0.747619048,78.0952381,26,0,DNA
440.2496902988121,118636.6912,5.823951721,-14.6933957,-0.293930906,83.7535014,3,3,DNA
102.76712444669324,17401.1245,5.150184631,-3.467245992,-0.552727273,56.78787879,30,0,DNA
325.7699354468141,13508.6861,10.58037567,14.02586116,-0.309375,93.90625,83,0,DNA
325.7699354468141,13552.7393,10.58037567,14.02586116,-0.3109375,94.609375,83,0,DNA
205.4273327773935,22743.2488,9.251747131,2.730060782,-0.354081633,99.13265306,45,0,DNA
132.55822232662896,75875.9284,5.551795959,-12.36295548,-0.551436782,70.02873563,38,0,DNA
93.30375620795944,34250.3789,7.695716858,1.045054478,-0.44295302,77.81879195,4,4,DNA
46.13194482098048,58539.4472,5.379295349,-16.3183591,-0.837377691,66.77103718,5,6,DNA
142.39870159975325,14507.4382,5.303993225,-4.295872281,-0.526771654,80.62992126,18,0,DNA
239.8778654973289,16687.1626,7.666664124,0.730087796,-0.349659864,79.65986395,0,0,DNA
3016.3465545023982,11555.3121,10.40200043,6.6986369,-0.479439252,89.43925234,18,834,DNA
369.9439653194524,68190.0099,6.069618225,-7.2190561,-0.393884298,78.11570248,37,12,DNA
90.56502415293693,17316.3267,9.134468079,3.614158689,-0.991975309,50.74074074,9,0,DNA
299.30241778938756,81053.3286,7.318885803,1.235820259,-0.610354223,61.45776567,6,0,DNA
177.76980176752895,80342.8686,8.076072693,2.822822399,-0.590784044,62.94360385,7,0,DNA
116.48795108169894,61139.6544,9.140342712,19.6474039,-0.450805009,69.60644007,5,0,DNA
13.064364169407344,7757.6724,8.363502502,0.600653945,-0.506944444,77.36111111,0,0,DNA
110.75858651193731,51790.0199,5.918907166,-14.88497315,-0.604612159,61.99161426,39,0,DNA
731.5055294638021,8232.4928,4.995307922,-4.315823133,-0.356944444,108.3333333,139,33,DNA
166.5519297702478,8615.7835,4.953544617,-2.480824678,-0.251898734,91.39240506,10,0,DNA
182.80849879345757,55863.3008,9.753974915,27.7897877,-0.707258065,70.80645161,31,0,DNA
157.88197595199824,23684.2943,9.80342865,6.043089447,-0.073023256,97.1627907,14,0,DNA
90.18976402846904,26433.366,5.458015442,-7.829514015,-0.372052402,85.45851528,14,0,DNA
111.15302607725874,71422.2344,6.445594788,-5.213411985,-0.753930818,70.70754717,28,0,DNA
455.155587773831,15355.9295,11.43497467,21.68070733,-0.677941176,81.91176471,156,97,DNA
535.5953571684754,15404.0859,11.12693024,19.66289335,-0.579411765,80.51470588,146,0,DNA
535.5953571684754,15388.0253,11.26931,19.67279434,-0.603676471,80.51470588,146,0,DNA
718.3311812568006,15327.9114,11.26931,19.67279434,-0.618382353,81.25,131,71,DNA
718.3516838673627,15213.7362,11.1052475,17.66489135,-0.582962963,83.25925926,135,71,DNA
511.56133991473445,15487.2625,11.13707733,20.66189435,-0.568382353,82.64705882,101,0,DNA
67.73557192517363,35783.1824,9.572181702,11.00439031,-0.471197411,100.0647249,12,0,DNA
